Temperature,Dissolved_Oxygen,pH,BioChemical_Oxygen_Demand ,Fecal_Streptococci,Nitrate,Fecal_Coliform,Total_Coliform ,Conductivity ,Water_Quality
7.5,9.95,7.85,0.15,90.0,0.255,22.5,180.0,134.5,1
11.0,9.65,7.7,0.45,205.0,0.2,62.5,410.0,77.0,1
7.5,9.9,7.65,0.55,100.0,0.1,26.0,200.0,101.5,0
8.5,9.65,7.55,0.35,300.0,0.25,97.5,600.0,148.0,0
10.0,9.55,7.8,0.25,190.0,0.15,47.5,380.0,106.0,1
11.0,9.45,7.75,0.85,222.5,0.3,67.0,445.0,97.5,1
9.5,9.55,7.9,0.5,285.0,0.195,74.5,570.0,203.5,1
10.5,9.85,7.7,0.25,145.0,0.115,60.0,290.0,95.5,1
14.5,9.8,7.95,0.25,112.5,0.1,26.5,225.0,99.0,0
16.5,9.25,7.65,0.25,147.5,0.15,66.0,295.0,111.5,1
19.0,8.9,8.2,0.25,120.0,0.12,37.5,240.0,162.0,1
14.5,8.65,8.05,0.15,100.0,0.15,22.0,200.0,116.0,0
16.0,9.65,8.05,0.4,485.0,0.47,190.5,970.0,163.0,0
12.25,9.75,8.0,0.3,52.25,0.9,4.0,104.5,234.5,1
11.25,9.65,7.8,0.3,49.25,0.94,4.0,98.5,206.4,1
14.25,10.25,7.7,0.25,52.5,0.7,4.05,105.0,249.5,1
13.75,8.85,7.54,0.25,59.5,0.68,4.0,119.0,150.5,0
12.65,8.7,7.625,0.3,54.5,0.685,21.0,109.0,220.0,0
16.55,8.2,7.9,0.2,20.25,0.3,2.0,40.5,211.5,1
17.0,8.2,8.1,0.15,24.0,0.55,3.0,48.0,216.5,0
16.1,8.05,7.9,0.2,47.5,0.45,4.0,95.0,217.0,1
17.55,8.65,7.6,0.2,52.25,0.6,4.5,104.5,248.0,0
11.5,9.65,7.75,0.2,142.5,0.3,52.5,285.0,87.5,1
21.1,8.7,8.0,0.0,1.0,0.5,2.0,2.0,214.0,0
26.0,8.9,8.0,0.0,6500.0,0.5,2000.0,13000.0,215.0,1
20.0,7.75,7.6,1.05,41.0,0.25,38.5,82.0,209.0,1
21.5,8.15,7.85,1.2,89.75,0.35,86.5,179.5,252.0,1
21.5,8.2,7.7,1.2,60.0,0.25,68.0,120.0,260.0,0
21.0,7.95,8.0,1.35,240.0,0.55,292.0,480.0,255.0,1
20.5,7.6,7.75,1.55,337.5,0.7,375.0,675.0,275.5,0
20.0,7.9,7.55,1.35,217.5,0.65,300.0,435.0,295.0,0
20.5,8.3,7.75,1.3,277.5,0.55,357.0,555.0,256.0,1
20.0,7.8,7.8,1.3,210.0,0.8,220.0,420.0,254.5,0
19.5,8.3,7.7,1.2,187.5,0.45,172.0,375.0,253.0,0
23.0,8.15,7.7,1.2,187.5,0.7,230.0,375.0,261.0,1
9.5,8.85,7.9,0.9,411.5,0.75,55.9,823.0,1345.0,0
9.5,8.4,7.6,0.55,409.75,0.75,20.4,819.5,1339.5,0
11.25,8.6,7.55,0.6,423.5,0.785,105.9,847.0,1321.0,1
11.25,8.7,7.6,0.95,452.5,0.78,47.9,905.0,1293.5,0
12.0,8.65,7.75,0.95,430.0,0.87,35.9,860.0,1221.0,1
11.5,8.5,7.9,0.65,70.45,0.7,29.0,140.9,1330.5,0
11.5,8.5,7.7,0.7,177.5,0.75,48.0,355.0,1317.0,1
17.0,9.85,8.2,0.1,97.5,0.16,23.0,195.0,1174.0,1
16.0,9.8,7.85,0.45,125.0,0.255,22.0,250.0,680.0,1
12.0,7.65,7.85,0.25,42.95,0.58,19.4,85.9,1364.5,0
19.75,9.05,8.3,0.25,112.5,0.1,27.5,225.0,279.0,0
20.0,9.7,8.3,0.25,130.0,0.15,35.0,260.0,143.5,1
10.35,8.7,7.9,0.7,81.5,0.55,25.5,163.0,752.5,1
10.35,8.75,7.65,0.6,108.5,0.55,32.0,217.0,745.0,1
17.5,8.45,7.85,0.0,392.5,3.1,235.0,785.0,402.0,0
18.0,8.4,7.65,0.0,245.0,2.05,141.5,490.0,303.5,0
18.0,8.4,7.7,0.0,227.5,4.45,125.5,455.0,235.5,0
19.0,8.5,7.7,1.0,305.0,6.35,224.5,610.0,291.0,0
19.0,8.1,7.8,1.3,367.5,1.2,356.5,735.0,260.0,1
18.0,5.2,8.0,3.5,0.0,0.0,0.0,0.0,405.0,0
18.0,6.45,8.25,5.1,0.0,0.65,0.0,0.0,420.0,0
20.5,6.8,8.15,2.75,0.0,0.2,0.0,0.0,265.0,0
11.0,8.5,7.6,0.2,0.0,0.0,0.0,0.0,160.0,1
11.0,8.7,7.65,0.15,0.0,0.0,0.0,0.0,159.0,1
11.0,8.8,7.5,0.2,0.0,0.0,0.0,0.0,156.5,0
11.0,8.1,7.75,1.0,0.0,0.0,0.0,0.0,105.5,1
19.0,6.4,7.35,6.85,0.0,1.15,0.0,0.0,600.0,1
20.5,7.1,8.05,0.95,0.0,0.0,0.0,0.0,297.0,1
6.15,9.05,7.75,0.8,0.0,0.0,0.0,0.0,140.0,1
6.25,9.0,7.7,0.9,0.0,0.0,0.0,0.0,165.0,1
6.0,9.05,7.5,1.05,0.0,0.0,0.0,0.0,142.5,0
8.4,8.9,7.9,0.85,0.0,0.0,0.0,0.0,132.0,0
8.75,8.8,7.7,1.1,0.0,0.0,0.0,0.0,132.5,1
10.7,7.85,7.95,0.85,0.0,0.0,0.0,0.0,275.0,1
10.75,8.0,7.9,1.1,0.0,0.0,0.0,0.0,315.5,1
12.65,9.05,7.65,0.95,0.0,0.0,0.0,0.0,230.5,1
13.05,8.3,7.55,1.35,0.0,0.0,0.0,0.0,235.0,0
12.7,8.75,7.5,0.85,0.0,0.0,0.0,0.0,212.0,1
17.95,8.15,7.9,0.55,0.0,0.1,0.0,0.0,249.5,1
18.1,7.9,8.1,0.75,0.0,0.1,0.0,0.0,251.5,1
23.0,6.1,8.1,6.9,0.0,0.45,0.0,0.0,629.0,1
22.0,7.05,8.2,1.8,0.0,0.3,0.0,0.0,263.0,0
20.5,4.3,8.35,4.7,0.0,0.3,0.0,0.0,462.5,1
20.5,7.8,8.4,1.3,0.0,0.55,0.0,0.0,245.5,0
21.0,7.25,8.3,1.15,0.0,0.2,0.0,0.0,271.0,1
19.8,4.4,7.8,36.8,411.75,2.2,468.5,823.5,875.0,1
21.0,8.35,7.8,1.4,630.0,5.6,399.0,1260.0,338.0,0
15.0,6.95,7.8,0.2,27.95,0.75,3.4,55.9,331.5,0
15.0,6.95,7.7,0.25,35.45,0.9,30.9,70.9,920.5,1
16.25,7.0,7.65,0.2,30.45,0.85,3.9,60.9,323.5,1
16.0,6.7,7.55,0.2,32.95,0.6,3.95,65.9,333.5,1
15.5,6.9,7.6,0.2,35.45,0.55,3.9,70.9,354.0,1
16.25,6.85,7.6,0.2,37.95,0.6,3.95,75.9,300.5,1
17.5,7.05,7.95,0.3,56.0,0.85,4.0,112.0,496.0,0
15.0,6.85,8.05,0.3,45.45,0.85,30.65,90.9,2425.5,0
12.5,9.2,7.85,0.7,405.25,1.2,9.0,810.5,2371.0,1
12.5,9.05,7.9,1.25,94.0,1.25,13.9,188.0,2933.5,1
12.0,8.85,7.9,2.45,141.5,1.45,20.5,283.0,4049.0,0
13.5,9.3,7.8,0.65,415.75,1.35,22.5,831.5,516.5,0
22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,191.0,0
22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,188.0,0
21.5,7.8,7.95,0.0,0.0,0.0,0.0,0.0,116.0,0
16.0,8.5,8.1,0.2,0.0,0.0,0.0,0.0,119.0,1
22.0,8.6,8.35,0.1,85.0,0.0,23.5,170.0,399.5,0
20.5,9.3,8.1,0.1,72.25,0.0,19.0,144.5,417.0,0
20.3,7.35,7.9,0.95,58.0,0.4,15.0,116.0,275.5,0
18.0,6.25,7.95,1.2,19.5,0.8,9.0,39.0,636.0,0
0.0,7.25,7.95,1.25,42.95,1.5,13.3,85.9,336.0,0
9.5,8.0,7.65,0.15,46.5,0.65,10.9,93.0,146.5,0
10.5,7.8,7.55,0.2,54.0,0.6,19.4,108.0,168.5,1
12.25,8.4,7.6,0.2,41.0,14.05,3.0,82.0,669.5,0
12.5,8.35,7.75,0.2,39.0,0.65,4.0,78.0,126.5,0
22.0,9.2,8.6,0.2,0.0,0.0,0.0,0.0,172.0,1
19.0,8.3,7.5,0.2,31.5,0.4,2.0,63.0,184.0,0
19.0,8.1,7.2,0.3,35.0,0.5,2.0,70.0,172.0,1
15.0,8.2,7.3,0.2,0.0,0.2,0.0,0.0,228.0,0
18.0,7.25,7.7,1.55,88.0,4.15,17.0,176.0,1850.0,1
18.0,6.5,7.7,3.1,630.0,4.45,177.0,1260.0,3010.0,1
14.5,7.55,8.35,0.5,87.75,2.3,12.0,175.5,1697.0,0
20.75,7.0,7.65,0.15,31.25,0.2,3.0,62.5,443.5,0
19.0,10.1,7.75,1.0,35.0,0.0,33.0,70.0,125.5,1
20.5,9.5,7.9,1.1,97.5,0.0,90.0,195.0,354.0,0
19.5,9.6,7.95,1.0,37.5,0.0,38.0,75.0,138.0,1
19.0,9.0,7.55,1.5,120.0,0.0,145.0,240.0,202.0,1
18.0,9.3,7.85,1.1,70.0,0.0,65.0,140.0,71.5,0
0.0,8.6,7.55,1.55,0.0,0.0,0.0,0.0,157.5,1
21.25,9.0,7.25,1.85,1010.0,0.575,960.0,2020.0,210.5,1
21.0,9.4,7.05,1.35,760.0,0.55,605.0,1520.0,209.5,0
22.5,8.7,7.2,1.95,180.0,0.47,195.0,360.0,221.0,1
23.5,8.75,7.3,1.7,290.0,0.435,300.0,580.0,227.0,0
21.5,8.95,7.35,1.75,557.5,0.515,600.0,1115.0,227.0,0
20.5,10.1,7.5,1.7,177.5,0.585,220.0,355.0,453.5,1
24.5,8.55,8.0,2.15,1100.0,0.0,850.9,2200.0,221.0,1
24.0,8.5,8.15,2.9,1975.0,0.0,2000.0,3950.0,275.0,1
24.0,8.1,8.2,3.5,2450.0,0.0,2500.0,4900.0,283.0,1
24.0,8.35,8.35,3.35,2275.0,0.0,2400.0,4550.0,276.5,1
24.0,8.05,8.25,3.25,2425.0,0.0,2550.0,4850.0,285.5,0
24.0,8.05,8.25,3.1,2025.0,0.0,2650.0,4050.0,284.0,0
24.0,7.7,8.25,3.55,2900.0,0.0,3250.0,5800.0,299.5,0
24.0,7.0,8.0,4.5,22750.0,0.0,26000.0,45500.0,332.5,0
24.0,7.6,8.1,4.1,15250.0,0.0,14650.0,30500.0,305.5,0
22.0,8.8,8.3,3.45,1800.0,0.82,3050.0,3600.0,329.5,0
22.0,8.95,8.2,3.4,1775.0,0.8,2900.0,3550.0,331.0,1
27.4,9.75,8.0,2.65,8350.0,1.445,9150.0,16700.0,207.5,1
27.55,9.2,8.15,2.95,9500.0,1.575,9300.0,19000.0,209.0,1
27.7,9.15,8.1,2.7,8850.0,1.61,8150.0,17700.0,259.5,0
27.75,9.35,7.95,2.35,7250.0,1.52,6250.0,14500.0,261.0,1
24.25,8.2,8.3,2.65,1000.0,0.69,1050.0,2000.0,410.0,1
24.4,7.55,8.35,3.6,8750.0,1.07,9000.0,17500.0,430.0,1
24.25,7.85,5.35,3.35,5500.0,0.945,6500.0,11000.0,424.0,0
25.75,8.6,8.25,2.5,1125.0,0.18,1100.0,2250.0,438.0,1
25.75,7.2,8.3,3.8,15000.0,0.275,17000.0,30000.0,460.0,0
26.5,7.9,8.4,3.4,6250.0,0.23,8000.0,12500.0,447.0,0
24.0,7.85,8.15,3.6,4400.0,0.0,3850.0,8800.0,310.0,1
26.25,7.15,8.4,3.8,13000.0,0.285,14000.0,26000.0,461.5,1
26.0,8.5,8.0,2.1,40575.0,0.195,14225.0,81150.0,381.0,0
26.0,3.35,7.65,37.5,40087.5,4.85,27023.0,80175.0,5730.0,1
23.0,1.75,7.65,24.0,2435.0,10.4,2775.0,4870.0,1000.0,1
23.0,2.2,7.55,26.5,1537.5,6.5,760.0,3075.0,1179.5,0
23.5,3.05,8.05,19.2,535.0,5.45,460.5,1070.0,1035.5,0
28.5,6.5,7.85,11.5,40400.0,2.2,46110.0,80800.0,1110.5,0
0.0,8.6,7.3,1.0,8000.0,0.2,5400.0,16000.0,429.0,1
19.0,2.6,7.5,27.5,800.0,0.0,0.0,1600.0,579.0,0
25.0,5.2,7.35,4.05,0.0,0.0,0.0,0.0,348.0,1
25.0,1.6,6.65,38.0,0.0,0.0,0.0,0.0,452.0,0
21.5,4.4,7.45,8.4,0.0,0.0,0.0,0.0,382.5,0
21.5,1.9,7.35,33.0,0.0,0.0,0.0,0.0,503.0,0
25.0,5.6,7.6,7.0,0.0,0.0,0.0,0.0,395.0,0
16.0,7.2,7.55,1.5,0.0,0.0,0.0,0.0,220.0,1
25.0,4.6,7.3,7.0,0.0,0.0,0.0,0.0,532.0,1
25.0,5.5,7.6,6.8,0.0,0.0,0.0,0.0,398.5,0
21.0,5.1,7.7,7.9,0.0,0.0,0.0,0.0,212.5,1
25.0,5.0,7.55,9.4,0.0,0.0,0.0,0.0,377.0,1
24.5,3.9,7.05,14.0,0.0,0.0,0.0,0.0,491.5,1
24.5,5.0,7.45,7.0,0.0,0.0,0.0,0.0,430.0,0
24.5,8.15,8.3,5.15,6025.0,0.0,5800.0,12050.0,453.0,0
27.8,8.2,7.3,0.0,3900.0,0.5,2000.0,7800.0,175.0,0
28.2,8.3,7.4,0.0,6500.0,0.5,2000.0,13000.0,177.0,1
25.9,6.95,8.15,4.2,14350.0,1.55,12100.0,28700.0,348.5,1
25.9,6.7,8.1,4.4,18375.0,1.55,17700.0,36750.0,354.0,0
26.25,3.0,7.6,8.5,65250.0,2.2,93500.0,130500.0,394.5,0
26.25,2.3,7.55,8.95,140500.0,2.35,128500.0,281000.0,402.0,0
26.25,2.3,8.05,9.3,57500.0,2.85,62500.0,115000.0,518.0,0
26.25,1.9,7.55,10.1,74750.0,2.95,109500.0,149500.0,526.5,0
26.25,4.1,8.05,4.95,18500.0,1.35,24100.0,37000.0,393.0,1
26.25,4.45,8.05,4.3,13075.0,1.35,17350.0,26150.0,384.5,0
23.5,6.95,7.95,4.55,3825.0,0.85,5250.0,7650.0,384.5,1
23.5,7.05,7.95,4.55,3800.0,0.85,4950.0,7600.0,379.0,1
26.5,8.25,8.3,2.85,1200.0,0.2,1200.0,2400.0,408.0,0
24.5,7.0,7.35,5.5,13975.0,0.0,14750.0,27950.0,312.0,1
23.5,7.55,7.55,4.3,11500.0,0.0,11550.0,23000.0,293.0,0
21.0,9.9,7.8,3.0,8525.0,0.5,13200.0,17050.0,300.0,1
23.5,7.2,7.4,4.7,10350.0,0.0,7650.0,20700.0,1284.0,1
25.5,7.3,7.3,4.75,10575.0,0.0,9650.0,21150.0,310.0,1
25.0,8.7,7.75,1.9,9025.0,0.295,8600.0,18050.0,273.0,1
23.75,8.85,8.25,2.05,625.0,0.45,350.0,1250.0,244.0,0
23.75,8.55,8.3,2.65,1425.0,0.4,1350.0,2850.0,261.0,1
23.5,7.2,7.6,2.2,15200.0,0.25,9600.0,30400.0,498.0,0
19.5,7.35,7.25,2.25,3975.0,0.2,2650.0,7950.0,462.5,1
25.5,7.1,7.65,3.8,41700.0,0.3,15000.0,83400.0,278.5,0
30.5,6.75,7.6,3.65,27250.0,0.2,14850.0,54500.0,346.0,1
26.0,2.8,6.95,7.0,42750.0,0.7,11700.0,85500.0,564.5,1
26.0,3.0,7.2,5.0,41575.0,0.6,11350.0,83150.0,251.5,0
25.0,2.2,7.2,16.4,42750.0,2.15,27850.0,85500.0,690.5,1
25.0,2.55,7.2,16.3,45500.0,2.05,32500.0,91000.0,687.5,0
24.5,8.25,8.0,1.6,40350.0,0.55,11550.0,80700.0,236.0,1
28.0,8.5,8.15,2.1,24525.0,0.55,28200.0,49050.0,308.0,1
24.0,7.95,7.8,1.9,23675.0,0.25,8890.0,47350.0,401.5,1
24.5,4.0,7.4,3.7,40825.0,0.35,14225.0,81650.0,374.5,0
25.5,4.95,7.4,3.5,13850.0,0.25,7465.0,27700.0,438.5,1
27.0,7.0,7.7,2.2,11075.0,0.35,9350.0,22150.0,337.0,0
27.5,7.85,7.9,2.0,7275.0,0.35,5680.0,14550.0,322.0,0
26.0,6.7,7.8,2.05,10500.0,0.45,11700.0,21000.0,472.5,0
26.0,4.65,7.3,5.15,42750.0,0.7,14090.0,85500.0,418.5,0
26.5,7.6,7.5,1.2,0.0,0.0,0.0,0.0,0.0,1
26.5,9.0,7.7,2.75,3250.0,0.55,3750.0,6500.0,289.5,1
28.0,8.3,7.7,2.45,6025.0,0.6,6250.0,12050.0,281.5,1
28.0,9.0,7.85,2.45,4600.0,0.5,4460.0,9200.0,423.5,0
26.0,7.35,7.7,3.7,41750.0,0.55,11400.0,83500.0,670.5,0
26.5,8.6,7.9,2.55,9100.0,0.55,6955.0,18200.0,350.5,0
27.25,8.6,7.85,2.35,3425.0,0.55,2650.0,6850.0,353.5,0
27.75,9.1,7.9,2.0,9075.0,0.5,6050.0,18150.0,261.0,0
27.25,8.6,7.7,2.45,3375.0,0.55,2000.0,6750.0,353.5,0
27.5,8.4,7.9,2.55,14175.0,0.55,3500.0,28350.0,372.5,0
28.25,8.7,7.85,2.8,3825.0,0.5,2350.0,7650.0,355.5,1
27.5,4.1,7.7,3.65,229000.0,0.45,154500.0,458000.0,481.5,1
28.5,2.25,7.8,3.8,225750.0,0.55,150550.0,451500.0,477.5,0
26.75,8.35,7.95,2.8,3025.0,0.55,3200.0,6050.0,343.0,1
27.0,6.95,7.7,3.6,44250.0,0.3,18200.0,88500.0,448.5,0
27.0,7.15,7.7,4.2,45250.0,0.3,46200.0,90500.0,546.0,0
27.5,6.95,7.7,3.65,226000.0,0.5,251000.0,452000.0,417.0,1
28.5,6.4,7.6,2.2,10250.0,1.15,7200.0,20500.0,3413.0,1
27.0,6.5,7.4,2.55,11000.0,1.65,9600.0,22000.0,1217.5,1
21.0,7.15,7.55,1.65,1165.0,1.55,700.0,2330.0,131.5,1
22.5,6.7,7.3,1.3,307.5,0.8,180.9,615.0,151.5,1
24.0,7.55,7.3,1.75,1255.0,1.45,900.0,2510.0,162.0,0
25.0,7.35,7.7,1.8,1275.0,1.7,930.0,2550.0,128.0,0
26.0,5.9,7.75,1.4,1255.0,1.15,550.9,2510.0,136.0,1
27.0,7.8,7.9,1.55,1375.0,1.45,930.0,2750.0,124.0,1
27.0,7.7,7.55,1.7,700.0,2.0,515.0,1400.0,123.0,0
24.5,7.8,7.5,1.75,880.0,1.55,700.0,1760.0,127.0,1
29.0,5.75,7.6,1.55,1400.0,1.2,1150.0,2800.0,140.5,0
21.5,5.0,7.75,2.0,675.45,1.4,460.9,1350.9,131.5,1
23.0,7.55,7.6,1.6,1055.0,1.15,750.0,2110.0,106.0,1
25.5,6.8,7.05,1.95,950.0,1.3,900.0,1900.0,52.0,1
22.0,4.75,7.35,3.65,2305.0,1.7,1360.0,4610.0,188.0,0
24.5,6.95,7.35,1.35,450.0,1.75,515.0,900.0,171.0,0
24.0,6.7,7.15,1.35,600.0,1.05,605.0,1200.0,183.0,1
23.0,7.0,7.4,1.3,425.0,1.0,330.0,850.0,125.5,1
29.5,4.45,7.15,1.95,3590.0,1.35,330.0,7180.0,31.5,1
23.5,5.9,7.15,1.65,450.0,1.7,515.0,900.0,166.5,1
23.0,7.4,7.4,2.05,790.0,1.45,515.0,1580.0,118.5,0
25.0,4.45,5.7,1.7,402.5,1.3,330.0,805.0,163.0,0
24.0,5.9,7.75,1.8,1057.5,1.25,1150.0,2115.0,89.0,0
22.0,2.3,6.7,2.3,1400.0,1.5,730.0,2800.0,132.0,0
26.0,6.25,7.3,3.1,1150.0,2.8,930.0,2300.0,126.5,0
29.0,5.3,7.3,2.05,950.0,1.55,900.0,1900.0,115.5,1
22.5,5.45,7.15,2.1,650.0,1.3,545.0,1300.0,96.0,1
23.5,5.5,6.95,2.05,1225.0,1.2,545.0,2450.0,117.0,0
26.0,6.45,7.4,2.0,350.0,1.55,535.0,700.0,149.5,0
23.5,6.5,7.15,1.0,302.5,1.05,300.0,605.0,63.0,0
27.0,7.3,7.55,2.1,875.0,1.05,605.0,1750.0,84.5,0
27.0,7.25,7.75,1.65,58.5,0.65,48.0,117.0,429.5,0
27.5,1.7,7.7,27.0,567.5,0.25,175.5,1135.0,2096.0,0
27.5,6.75,7.95,7.55,190.0,0.85,61.5,380.0,668.5,1
27.5,6.7,7.85,2.5,111.0,1.25,64.5,222.0,692.5,0
27.5,7.6,7.25,0.85,23.75,0.2,1.9,47.5,452.0,1
27.5,0.8,7.95,123.5,512.5,0.39,366.5,1025.0,2278.5,0
28.0,7.3,8.0,1.85,135.0,0.65,71.0,270.0,328.0,1
30.5,0.0,7.5,32.5,2850.0,0.35,410.0,5700.0,1959.5,0
28.0,7.0,8.35,1.4,35.5,0.3,10.5,71.0,245.0,1
27.0,7.35,8.05,0.95,12.25,0.1,2.9,24.5,375.5,1
20.4,7.4,7.8,1.55,21.5,0.85,5.9,43.0,284.0,0
18.6,7.45,7.75,1.6,23.75,0.95,7.4,47.5,1280.0,0
23.0,6.85,7.85,1.8,25.75,0.45,9.9,51.5,244.5,0
22.5,7.65,8.2,1.1,21.0,0.445,1.8,42.0,246.5,1
22.5,7.5,8.2,1.3,19.75,0.85,1.8,39.5,352.5,1
23.0,7.75,8.15,1.2,20.25,0.65,1.8,40.5,313.5,0
20.25,7.7,7.8,1.45,21.5,0.8,6.4,43.0,259.0,1
25.0,8.4,8.0,1.65,158.5,2.3,10.0,317.0,933.5,0
23.0,7.45,8.3,1.0,22.0,0.7,1.8,44.0,309.5,0
24.5,8.0,8.0,2.15,617.5,2.715,25.5,1235.0,1025.0,0
25.0,8.65,8.0,2.15,552.5,8.0,56.0,1105.0,332.0,1
22.5,7.1,8.25,1.1,20.75,0.95,9.9,41.5,298.5,0
22.5,7.35,8.2,1.2,21.75,0.75,1.8,43.5,343.0,1
20.15,7.6,7.75,1.45,0.0,0.8,1.8,0.0,281.0,0
20.05,7.15,7.95,1.5,12.5,0.7,3.9,25.0,1545.0,0
18.6,7.5,7.75,1.6,19.5,0.7,5.4,39.0,302.5,0
18.7,7.5,7.7,1.6,22.5,0.9,7.9,45.0,325.0,1
25.5,7.5,7.75,1.6,22.0,0.6,1.8,44.0,404.0,1
24.5,8.5,8.2,1.75,540.75,2.25,32.4,1081.5,255.0,0
25.6,5.7,7.85,1.6,19.5,1.1,9.9,39.0,399.0,0
18.95,7.4,7.75,1.75,22.75,0.95,6.4,45.5,353.0,1
19.05,7.0,7.65,2.0,20.5,0.9,6.4,41.0,2252.0,1
23.5,7.1,8.1,1.0,20.5,0.8,1.8,41.0,337.5,0
28.0,6.95,7.85,0.37,28.0,0.115,25.0,56.0,281.5,1
28.0,6.9,7.95,0.6,27.75,0.15,23.0,55.5,274.0,0
25.0,7.4,7.7,0.55,60.75,0.5,15.0,121.5,286.0,1
28.0,6.75,7.9,0.7,35.0,0.0,27.0,70.0,1572.5,1
28.5,6.5,7.95,0.9,140.0,0.0,79.5,280.0,9272.0,0
